t_sec,u_px,v_px
1.35844,461,459
1.48988,462,423
1.62171,464,386
1.75734,468,351
1.89382,476,318
2.02485,443,278
2.15607,413,240
2.2859,388,234
2.41987,386,242
2.55231,384,254
2.69267,377,261
2.82717,370,275
2.95828,371,276
3.08948,431,278
3.22157,517,270
3.35673,588,263
3.62246,640,186
3.75496,667,150
3.88903,693,116
4.29559,724,40
4.55655,722,58
4.68999,713,64
4.82273,686,77
4.95847,656,90
5.09184,630,102
5.22511,622,115
5.3601,686,132
5.49242,752,149
5.62574,806,163
5.76011,838,177
5.89101,835,189
6.02304,831,199
6.15474,817,211
6.288,806,223
6.41975,802,234
6.55241,794,244
6.68346,774,252
6.81419,731,258
6.94723,682,263
7.07863,639,268
7.21278,672,270
7.346,787,271
7.48062,849,303
8.14463,862,224
8.28154,865,209
11.2028,463,487
11.3362,461,480
11.47,461,443
11.6041,461,401
11.7386,460,361
11.8724,460,323
12.0078,458,286
12.1401,456,250
12.2737,452,215
12.4042,448,182
12.5425,444,150
12.6815,440,119
12.8142,484,93
12.9487,567,71
13.0817,646,51
13.2146,730,34
13.3467,800,44
13.4788,833,55
13.6115,794,65
13.7483,766,75
13.8831,738,85
14.1565,676,110
14.2929,627,123
14.4264,591,145
14.5596,577,186
14.6896,563,224
14.8272,551,262
14.9608,538,297
15.0918,525,340
15.2278,517,364
15.3603,503,395
15.4938,485,428
15.628,481,450
15.7625,473,464
15.8941,467,451
16.0286,458,438
16.1605,447,427
16.2983,439,416
16.4364,429,404
16.568,458,393
16.8329,455,375
16.9653,342,368
17.0991,308,313
17.233,263,263
17.3681,224,217
17.5053,177,172
17.6399,143,132
17.7714,103,94
17.9073,63,58
18.0457,66,36
18.1805,100,43
18.3117,111,60
18.4429,215,63
18.5762,335,66
18.7103,449,56
18.8465,485,42
19.2536,504,65
19.653,514,106
19.7872,515,116
19.9187,475,122
20.053,411,112
20.1872,336,99
20.3212,268,89
20.4582,206,77
20.5923,144,67
20.7223,164,68
20.8582,225,74
20.996,279,82
21.1288,337,91
21.2616,383,104
21.3957,451,133
21.664,520,212
21.7981,535,258
21.9308,548,301
22.0638,563,343
22.1977,577,383
22.3302,591,421
22.597,620,460
22.7294,659,453
22.8657,746,454
22.9981,836,455
23.1308,805,458
23.2665,789,459
23.4016,766,461
23.536,747,465
23.6685,756,460
23.8027,767,447
23.9376,779,434
24.0759,793,422
24.2098,800,416
24.3422,799,420
24.4761,800,421
24.6121,804,420
24.7443,803,415
24.8764,839,414
25.02,799,413
25.1569,769,409
25.2907,739,407
25.4246,710,402
25.5572,682,398
25.6898,656,393
25.8236,631,384
25.9575,664,368
26.0909,673,334
26.2241,679,302
26.357,687,271
26.4898,696,242
26.6252,702,207
26.7596,627,187
26.892,650,175
27.0247,690,164
27.1583,731,155
27.2911,768,147
27.4243,776,144
27.5589,773,146
27.695,770,147
27.8269,772,145
27.9596,774,145
28.2295,476,183
28.6247,408,331
28.7596,414,386
28.8913,499,396
29.0261,653,469
29.157,781,435
29.2881,805,433
29.4313,804,457
29.5643,800,465
29.7001,798,452
29.8322,796,441
29.9657,789,428
30.1006,729,421
30.2371,649,411
30.3698,576,401
30.5045,516,389
30.6384,449,392
30.7729,384,395
30.9097,339,395
31.0428,230,401
31.1752,104,401
31.3109,116,403
31.4453,168,404
31.5808,225,406
31.7175,274,406
31.8511,242,329
31.9893,206,242
32.1251,162,158
32.2587,124,76
32.3951,140,38
32.528,200,38
32.6621,239,49
32.7965,277,60
32.9305,107,61
33.0632,97,45
33.1967,116,67
33.3302,131,88
33.4679,187,103
33.6031,252,118
33.7407,314,131
33.8746,373,143
34.0073,431,156
34.1435,485,169
34.2782,540,144
34.4133,590,95
34.5488,644,52
34.6822,690,44
34.8129,733,57
34.9471,775,72
35.0807,807,84
35.2139,839,102
35.3469,821,117
35.4804,802,135
35.6131,787,152
35.745,691,169
35.8788,609,199
36.0208,584,239
36.1536,560,278
36.287,544,315
36.4196,547,347
36.5582,549,378
36.694,554,408
36.8308,553,436
36.9628,558,462
37.0946,561,460
37.2296,563,449
37.3628,568,424
37.4999,572,419
37.6337,576,409
37.7673,576,395
37.9027,575,382
38.0366,575,367
38.1668,571,354
38.3027,573,357
38.4421,582,396
38.5742,590,431
38.7067,596,434
38.8409,662,414
38.9745,761,373
39.1082,838,331
39.511,803,228
39.643,798,196
39.776,797,187
39.9087,797,189
40.0432,804,189
40.1776,803,190
40.3121,763,224
40.4458,729,257
40.5793,688,289
40.7126,653,321
40.844,632,360
40.9768,634,412
41.1092,637,462
41.2444,639,447
41.3773,671,403
41.5105,754,325
41.6436,838,248
41.7778,868,197
42.0443,864,250
42.1776,869,276
47.2307,460,467
47.3711,460,423
47.5017,460,377
47.6347,459,330
47.7686,457,284
47.9004,455,241
48.0338,454,198
48.1699,451,157
48.303,448,118
48.4362,444,80
48.5693,441,44
48.7032,435,46
48.8358,431,57
48.9684,551,57
49.1028,665,58
49.2413,776,60
49.5056,768,60
49.6363,731,62
49.7689,686,66
49.901,647,71
50.0353,623,80
50.1706,738,95
50.3034,795,113
50.4364,807,130
50.5753,834,145
50.7114,842,158
50.8453,837,173
50.9774,832,187
51.1126,808,204
51.247,794,203
51.3789,731,174
51.5145,670,148
51.6446,643,123
52.0448,732,40
52.1801,736,55
52.3148,743,68
52.4491,752,82
52.5832,764,94
52.7158,772,107
52.8473,782,121
52.9794,789,134
53.1138,785,149
53.2471,683,189
53.3808,591,226
53.5141,591,213
53.6474,594,192
53.7801,609,173
53.9139,633,160
54.0489,742,172
54.1832,841,184
54.318,803,209
54.4531,783,235
54.5896,762,261
54.7269,744,283
54.8604,733,319
54.9932,693,342
55.1275,531,360
55.2598,386,374
55.3958,268,403
55.5293,143,422
55.6632,101,440
55.7929,103,449
55.9257,105,454
56.0592,138,457
56.1917,235,454
56.3238,327,451
56.4573,416,447
56.5917,491,438
56.8577,474,429
56.9885,446,422
57.1227,420,413
57.2552,396,404
57.3861,372,395
57.5252,355,363
57.6621,341,320
57.7952,327,278
57.9272,243,359
58.0586,155,443
58.3209,59,454
58.452,62,437
58.5831,57,419
58.717,57,397
58.8512,57,355
58.9869,57,339
59.1195,59,365
59.2512,62,388
59.3868,64,412
59.5217,65,425
59.6563,65,415
59.789,67,405
60.0547,82,385
60.1885,100,374
60.3211,258,349
60.4529,373,285
60.5846,443,254
60.8498,473,242
60.9838,453,246
61.1158,469,251
61.2491,484,259
61.3821,438,309
61.5131,380,346
61.6473,325,377
61.783,264,401
61.917,163,425
62.0493,97,400
62.1858,67,346
62.3224,103,306
62.4529,171,282
62.7181,271,268
62.8526,184,299
62.9862,116,310
63.1202,117,315
63.253,128,316
63.3893,139,317
63.5227,150,319
63.6568,159,322
63.7906,169,326
63.9236,175,325
64.0575,187,320
64.1919,202,312
64.3226,300,291
64.4583,421,264
64.5915,492,226
64.7267,447,207
64.8599,469,200
64.9999,481,187
65.2682,527,198
65.4017,573,257
65.536,622,303
65.6698,655,279
65.8047,691,260
65.9368,729,241
66.0714,759,225
66.2064,791,208
66.3381,823,193
66.4722,839,185
66.6039,833,183
66.7382,806,179
66.8714,802,178
67.1374,650,192
67.2715,663,200
67.4092,674,209
67.5407,685,219
67.6737,695,226
67.8062,701,232
67.9407,725,242
68.0758,732,245
68.2092,741,254
68.3403,751,262
68.4719,763,255
68.603,772,256
68.7358,780,254
68.8677,627,260
69.0018,684,261
69.1338,728,251
69.268,665,204
69.4006,620,164
69.532,560,200
69.6658,514,265
69.7995,459,330
69.9338,415,395
70.0683,376,443
70.2013,518,446
70.3445,589,445
70.4784,660,440
70.614,732,437
70.7468,779,449
70.8817,836,462
71.0179,835,471
71.1509,806,462
71.2845,792,455
71.4192,780,446
71.5511,687,417
71.6877,555,378
71.8202,418,335
71.9531,276,300
72.0891,150,265
72.2223,34,233
81.374,439,29
81.5041,429,80
81.635,419,125
81.7686,410,163
81.904,416,198
82.0378,471,213
82.174,525,228
82.308,578,243
82.4417,628,246
82.5763,676,244
82.7115,664,239
82.8441,648,234
82.975,633,231
83.1048,640,238
83.2358,699,270
83.3698,770,302
83.5035,836,331
83.6357,835,353
83.7694,821,372
83.9059,805,395
84.0407,801,409
84.1756,764,361
84.3129,734,318
84.4457,702,283
84.5788,681,231
84.712,661,189
84.8452,642,149
84.9833,698,113
85.1162,789,80
85.2514,834,52
85.3876,801,34
85.5225,783,47
85.6549,764,56
85.7907,746,65
85.9262,734,72
86.1893,653,127
86.3221,523,191
86.4542,398,256
86.5874,295,234
86.7202,203,198
86.8552,108,214
86.9874,44,273
87.2547,35,244
87.3898,35,255
87.5205,33,254
87.6535,36,255
87.7857,38,257
87.921,36,248
88.0552,38,252
88.1935,36,253
88.3244,39,255
89.6417,439,23
89.7732,439,56
89.9083,440,99
90.0408,468,128
90.1747,466,143
90.3131,463,158
90.4472,461,173
90.5814,457,187
